Year,T
1850,-0.39290929166666666
1851,-0.20141513416666668
1852,-0.20487886624999999
1853,-0.234317785
1854,-0.24894950833333332
1855,-0.2476399
1856,-0.2784832475
1857,-0.42456744166666666
1858,-0.34988405
1859,-0.24012575833333333
1860,-0.34354074083333336
1861,-0.37698096016666666
1862,-0.4885865166666667
1863,-0.29611021833333334
1864,-0.41826031333333336
1865,-0.2818526333333333
1866,-0.3026371391666667
1867,-0.31662374249999997
1868,-0.30187311916666665
1869,-0.264336375
1870,-0.28721774666666666
1871,-0.325359775
1872,-0.2878908316666667
1873,-0.30375151666666667
1874,-0.33422009999999996
1875,-0.3525772833333333
1876,-0.386869325
1877,-0.0677844675
1878,0.0301273725
1879,-0.2725628666666667
1880,-0.28389080916666665
1881,-0.20453168
1882,-0.2703695448333333
1883,-0.3224917
1884,-0.47108453333333333
1885,-0.44768736666666664
1886,-0.39841571666666664
1887,-0.475141075
1888,-0.353588175
1889,-0.22404654083333334
1890,-0.48346364166666667
1891,-0.377555425
1892,-0.49110285
1893,-0.47522095833333333
1894,-0.458049225
1895,-0.42566485833333334
1896,-0.26117544833333334
1897,-0.23787770583333334
1898,-0.46422440833333334
1899,-0.3355210831666667
1900,-0.21231717833333333
1901,-0.27271795833333334
1902,-0.42747816666666666
1903,-0.5181443166666667
1904,-0.5816862333333334
1905,-0.3915266666666667
1906,-0.29994971833333334
1907,-0.49188272499999997
1908,-0.4964758166666667
1909,-0.5195959583333334
1910,-0.5138840083333334
1911,-0.5176260333333333
1912,-0.46665188333333335
1913,-0.45629383333333334
1914,-0.25283051666666667
1915,-0.17885232083333333
1916,-0.41477946666666665
1917,-0.5439888083333333
1918,-0.43154071666666666
1919,-0.328796875
1920,-0.29129020833333336
1921,-0.22414605833333334
1922,-0.3256172
1923,-0.303839483
1924,-0.2920928666666667
1925,-0.26235358833333333
1926,-0.104165645
1927,-0.21078586833333335
1928,-0.18811592766666665
1929,-0.3803486583333333
1930,-0.1540908625
1931,-0.08179880924999999
1932,-0.130045325
1933,-0.311373725
1934,-0.15905466416666666
1935,-0.18971983666666667
1936,-0.15428590083333332
1937,-9.887847499999993e-4
1938,0.007866646666666666
1939,-0.023619415083333335
1940,0.08572134916666667
1941,0.04551660983333333
1942,0.011139262016666665
1943,0.02471934733333333
1944,0.15300552083333332
1945,0.04505543683333333
1946,-0.09930005916666666
1947,-0.07454291416666667
1948,-0.10911118474999999
1949,-0.13299011483333334
1950,-0.22032735833333333
1951,-0.04463491
1952,0.02511723275
1953,0.09366853216666667
1954,-0.10433373916666666
1955,-0.18759007583333334
1956,-0.26450673333333335
1957,-0.03745654275
1958,-0.015908893666666667
1959,-0.046693323583333335
1960,-0.113195314
1961,-0.022387541666666667
1962,-0.06326166750000001
1963,-0.03670756
1964,-0.30626045
1965,-0.20507661666666666
1966,-0.14746760075
1967,-0.1159320375
1968,-0.16793903633333332
1969,-0.03265993765833333
1970,-0.08533911833333334
1971,-0.2055728
1972,-0.09474035
1973,0.0505851225
1974,-0.173410385
1975,-0.11020169249999999
1976,-0.21613894666666666
1977,0.10436292108333334
1978,0.005570249166666666
1979,0.09202485166666667
1980,0.19618427083333334
1981,0.250546885
1982,0.034396789
1983,0.22411477583333334
1984,0.04845243083333334
1985,0.0499070385
1986,0.09598322
1987,0.24325809166666668
1988,0.2834818358333333
1989,0.1808884275
1990,0.36206235
1991,0.33949375833333334
1992,0.12578214816666666
1993,0.16739467416666667
1994,0.23523112333333335
1995,0.3786899083333333
1996,0.2778534583333333
1997,0.42370660833333335
1998,0.5790303083333334
1999,0.3264136833333333
2000,0.33303651666666667
2001,0.4918594416666667
2002,0.5451417166666667
2003,0.5458882583333333
2004,0.4695657916666667
2005,0.6092292
2006,0.5740405583333333
2007,0.5931119166666666
2008,0.46742205833333333
2009,0.5977110916666667
2010,0.6820213833333333
2011,0.5386373166666667
2012,0.5794415916666666
2013,0.6247511666666666
2014,0.6742733083333333
2015,0.8267601916666667
2016,0.93433575
2017,0.8465017166666666
2018,0.7638191083333333
2019,0.8927851583333333
2020,0.9248865583333333
2021,0.7634657083333334
